/home/seth/dev/cytools_project/venv/lib/python3.13/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  B-01: SCAN χ=-6 POLYTOPES FOR h⁰ ≥ 3 LINE BUNDLES
  Method: Verified Koszul + lattice-point counting
========================================================================


────────────────────────────────────────────────────────────
  h11=13, h21=16  —  3 polytopes
  poly  93: n_toric=20, h11_eff=15, 2280 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  94: n_toric=19, h11_eff=14, 1968 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  95: n_toric=20, h11_eff=15, 2238 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  96: n_toric=20, h11_eff=15, 2570 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  97: n_toric=21, h11_eff=15, 1844 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  98: n_toric=20, h11_eff=15, 2452 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  99: n_toric=19, h11_eff=14, 1680 χ=3 bundles, max h⁰=1 [NF]

────────────────────────────────────────────────────────────
  h11=16, h21=19  —  100 polytopes
────────────────────────────────────────────────────────────
  poly   0: n_toric=13, h11_eff= 8,  316 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   1: n_toric=13, h11_eff= 8,  590 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   2: n_toric=21, h11_eff=14, 2072 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   3: n_toric=19, h11_eff=13, 1706 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly   4: n_toric=20, h11_eff=14, 2600 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   5: n_toric=21, h11_eff=16, 1214 χ=3 bundles, max h⁰=1
  poly   6: n_toric=21, h11_eff=16, 1048 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
