/usr/local/lib/python3.12/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  TIER 0.25 FAST PRE-FILTER (early termination + min_h0 bound)
  h¹¹ = [18], limit=all, workers=14
========================================================================

────────────────────────────────────────────────────────────
  h11=18, h21=21  —  100000 polytopes (fetched in 185.9s)
────────────────────────────────────────────────────────────
  [16200/100000] 1712s, 9.5 poly/s, ETA 8854s, 7930 pass / 8270 skip
  [16300/100000] 1723s, 9.5 poly/s, ETA 8848s, 7982 pass / 8318 skip
  [16400/100000] 1735s, 9.5 poly/s, ETA 8846s, 8021 pass / 8379 skip
  [16500/100000] 1746s, 9.5 poly/s, ETA 8834s, 8074 pass / 8426 skip
  [16600/100000] 1757s, 9.4 poly/s, ETA 8828s, 8112 pass / 8488 skip
  [16700/100000] 1767s, 9.5 poly/s, ETA 8812s, 8162 pass / 8538 skip
  [16800/100000] 1779s, 9.4 poly/s, ETA 8811s, 8206 pass / 8594 skip
  [16900/100000] 1790s, 9.4 poly/s, ETA 8804s, 8244 pass / 8656 skip
  [17000/100000] 1800s, 9.4 poly/s, ETA 8789s, 8307 pass / 8693 skip
  [17100/100000] 1812s, 9.4 poly/s, ETA 8784s, 8352 pass / 8748 skip
  [17200/100000] 1822s, 9.4 poly/s, ETA 8769s, 8402 pass / 8798 skip
  [17300/100000] 1833s, 9.4 poly/s, ETA 8760s, 8441 pass / 8859 skip
  [17400/100000] 1844s, 9.4 poly/s, ETA 8756s, 8485 pass / 8915 skip
  [17500/100000] 1855s, 9.4 poly/s, ETA 8745s, 8531 pass / 8969 skip
  [17600/100000] 1868s, 9.4 poly/s, ETA 8746s, 8565 pass / 9035 skip
  [17700/100000] 1878s, 9.4 poly/s, ETA 8731s, 8618 pass / 9082 skip
  [17800/100000] 1888s, 9.4 poly/s, ETA 8719s, 8670 pass / 9130 skip
  [17900/100000] 1900s, 9.4 poly/s, ETA 8717s, 8718 pass / 9182 skip
  [18000/100000] 1911s, 9.4 poly/s, ETA 8705s, 8769 pass / 9231 skip
  [18100/100000] 1923s, 9.4 poly/s, ETA 8703s, 8810 pass / 9290 skip
  [18200/100000] 1933s, 9.4 poly/s, ETA 8690s, 8847 pass / 9353 skip
  [18300/100000] 1946s, 9.4 poly/s, ETA 8687s, 8893 pass / 9407 skip
  [18400/100000] 1959s, 9.4 poly/s, ETA 8686s, 8927 pass / 9473 skip
  [18500/100000] 1970s, 9.4 poly/s, ETA 8679s, 8956 pass / 9544 skip
  [18600/100000] 1986s, 9.4 poly/s, ETA 8690s, 8984 pass / 9616 skip
  [18700/100000] 1999s, 9.4 poly/s, ETA 8692s, 9018 pass / 9682 skip
  [18800/100000] 2011s, 9.3 poly/s, ETA 8688s, 9040 pass / 9760 skip
  [18900/100000] 2026s, 9.3 poly/s, ETA 8694s, 9081 pass / 9819 skip
  [19000/100000] 2037s, 9.3 poly/s, ETA 8684s, 9124 pass / 9876 skip
  [19100/100000] 2050s, 9.3 poly/s, ETA 8684s, 9158 pass / 9942 skip
  [19200/100000] 2063s, 9.3 poly/s, ETA 8683s, 9201 pass / 9999 skip
  [19300/100000] 2076s, 9.3 poly/s, ETA 8679s, 9240 pass / 10060 skip
  [19400/100000] 2087s, 9.3 poly/s, ETA 8669s, 9286 pass / 10114 skip
  [19500/100000] 2097s, 9.3 poly/s, ETA 8657s, 9328 pass / 10172 skip
  [19600/100000] 2108s, 9.3 poly/s, ETA 8648s, 9375 pass / 10225 skip
  [19700/100000] 2120s, 9.3 poly/s, ETA 8642s, 9412 pass / 10288 skip
  [19800/100000] 2132s, 9.3 poly/s, ETA 8636s, 9454 pass / 10346 skip
  [19900/100000] 2144s, 9.3 poly/s, ETA 8628s, 9486 pass / 10414 skip
