
────────────────────────────────────────────────────────────
  h11=15, h21=18  —  553 polytopes (fetched in 1.8s)
────────────────────────────────────────────────────────────
  poly  156: n_toric=20, h11_eff=15,  1960 χ=3 bundles, max h⁰=1
  poly  157: n_toric=20, h11_eff=15,  2768 χ=3 bundles, max h⁰=1
  poly  158: n_toric=20, h11_eff=15,  2352 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  159: n_toric=19, h11_eff=14,  2562 χ=3 bundles, max h⁰=1 [NF]
  poly  160: n_toric=20, h11_eff=15,  2308 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  161: n_toric=19, h11_eff=14,  2112 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  162: n_toric=20, h11_eff=15,  2132 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  163: n_toric=20, h11_eff=15,  2524 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  164: n_toric=20, h11_eff=15,  2272 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  165: n_toric=20, h11_eff=15,  2304 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  166: n_toric=20, h11_eff=15,  2572 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  167: n_toric=20, h11_eff=15,  2686 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  168: n_toric=20, h11_eff=15,  2538 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  169: n_toric=20, h11_eff=15,  2858 χ=3 bundles, max h⁰=1
  poly  170: n_toric=20, h11_eff=15,  2592 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  171: n_toric=20, h11_eff=15,  2878 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  172: n_toric=20, h11_eff=15,  2800 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  173: n_toric=20, h11_eff=15,  2916 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  174: n_toric=20, h11_eff=15,  2976 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  175: n_toric=20, h11_eff=15,  2702 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  176: n_toric=20, h11_eff=15,  2616 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  177: n_toric=19, h11_eff=14,  1740 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
