
────────────────────────────────────────────────────────────
  h11=16, h21=19  —  5180 polytopes (fetched in 13.3s)
────────────────────────────────────────────────────────────
  poly  111: n_toric=22, h11_eff=16,  1278 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  112: n_toric=22, h11_eff=16,  1396 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  113: n_toric=21, h11_eff=16,  1234 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  114: n_toric=21, h11_eff=16,  1304 χ=3 bundles, max h⁰=1
  poly  115: n_toric=21, h11_eff=15,  1736 χ=3 bundles, max h⁰=1 [NF]
  poly  116: n_toric=18, h11_eff=13,  1492 χ=3 bundles, max h⁰=17 ★★★ HIT ★★★ [NF]
  poly  117: n_toric=21, h11_eff=15,  2282 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  118: n_toric=22, h11_eff=16,  1288 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  119: n_toric=22, h11_eff=16,  1296 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  120: n_toric=19, h11_eff=13,  1334 χ=3 bundles, max h⁰=12 ★★★ HIT ★★★ [NF]
  poly  121: n_toric=19, h11_eff=14,  1522 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  122: n_toric=21, h11_eff=16,  1318 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  123: n_toric=19, h11_eff=14,  1632 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  124: n_toric=18, h11_eff=13,  1432 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  125: n_toric=18, h11_eff=13,  1548 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  126: n_toric=19, h11_eff=14,  1958 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  127: n_toric=17, h11_eff=12,  1346 χ=3 bundles, max h⁰=1 [NF]
  poly  128: n_toric=20, h11_eff=15,  2352 χ=3 bundles, max h⁰=1 [NF]
  poly  129: n_toric=21, h11_eff=16,  1296 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  130: n_toric=21, h11_eff=16,  1278 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  131: n_toric=21, h11_eff=16,  1140 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  132: n_toric=21, h11_eff=16,  1196 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  133: n_toric=21, h11_eff=16,  1104 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  134: n_toric=19, h11_eff=14,  2314 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  135: n_toric=19, h11_eff=14,  1876 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  136: n_toric=21, h11_eff=16,  1192 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  137: n_toric=21, h11_eff=16,  1540 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  138: n_toric=19, h11_eff=14,  1858 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  139: n_toric=19, h11_eff=14,  2378 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  140: n_toric=19, h11_eff=14,  2576 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  141: n_toric=22, h11_eff=16,  1600 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  142: n_toric=21, h11_eff=15,  2742 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  143: n_toric=22, h11_eff=16,  1234 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  144: n_toric=18, h11_eff=13,  1800 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  145: n_toric=20, h11_eff=15,  2450 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  146: n_toric=19, h11_eff=14,  1974 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  147: n_toric=21, h11_eff=16,  1552 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  148: n_toric=22, h11_eff=16,  1048 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  149: n_toric=21, h11_eff=15,  2280 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  150: n_toric=20, h11_eff=14,  1826 χ=3 bundles, max h⁰=1 [NF]
  poly  151: n_toric=21, h11_eff=15,  2658 χ=3 bundles, max h⁰=1 [NF]
  poly  152: n_toric=19, h11_eff=14,  1840 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  153: n_toric=23, h11_eff=16,  1262 χ=3 bundles, max h⁰=1
  poly  154: n_toric=23, h11_eff=16,  1378 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  155: n_toric=22, h11_eff=16,  1252 χ=3 bundles, max h⁰=1
  poly  156: n_toric=23, h11_eff=16,  1284 χ=3 bundles, max h⁰=1
  poly  157: n_toric=22, h11_eff=16,  1232 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly  158: n_toric=23, h11_eff=16,  1256 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  159: n_toric=21, h11_eff=15,  2408 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★ [NF]
  poly  160: n_toric=22, h11_eff=16,  1342 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  161: n_toric=21, h11_eff=16,  1190 χ=3 bundles, max h⁰=1
  poly  162: n_toric=19, h11_eff=13,  1526 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  163: n_toric=20, h11_eff=15,  2754 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  164: n_toric=21, h11_eff=16,  1004 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  165: n_toric=21, h11_eff=15,  2300 χ=3 bundles, max h⁰=9 ★★★ HIT ★★★ [NF]
  poly  166: n_toric=21, h11_eff=16,   968 χ=3 bundles, max h⁰=1
  poly  167: n_toric=20, h11_eff=15,  2072 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  168: n_toric=20, h11_eff=15,  2376 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  169: n_toric=19, h11_eff=14,  2734 χ=3 bundles, max h⁰=12 ★★★ HIT ★★★ [NF]
  poly  170: n_toric=19, h11_eff=14,  2296 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  171: n_toric=21, h11_eff=16,  1078 χ=3 bundles, max h⁰=1
  poly  172: n_toric=21, h11_eff=16,  1194 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  173: n_toric=21, h11_eff=16,  1134 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  174: n_toric=21, h11_eff=16,  1222 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  175: n_toric=21, h11_eff=16,   670 χ=3 bundles, max h⁰=1
  poly  176: n_toric=21, h11_eff=16,   958 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  177: n_toric=21, h11_eff=16,  1284 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
