poly_id,h11,h21,chi,n_vertices,n_points,is_favorable,tier1_score,tier1_max,n_rigid_dP,n_K3,n_intnums,n_kahler_walls,n_mori_generators,vol_tip,k_ratio,h11_quotient,gl_order,error
poly_235,15,18,-6,13,20,True,7,7,14,0,276,84,267,6684.415652262649,82.0,11,1,
poly_236,15,18,-6,13,20,True,7,7,15,0,281,76,299,4137.541666666636,85.0,4,4,
poly_237,15,18,-6,13,20,True,6,6,17,0,275,85,77,6938.499999999973,,8,2,
poly_238,15,18,-6,13,20,True,6,6,14,0,273,75,274,2492.3594012009326,,7,2,
poly_239,15,18,-6,13,20,True,7,7,16,0,270,91,137,32576.33333333165,95.0,9,1,
poly_240,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_241,15,18,-6,13,20,True,7,7,15,0,268,85,296,5038.857573016958,81.0,8,1,
poly_242,15,18,-6,13,20,True,7,7,17,0,273,85,102,10785.16666665239,28.333333333333332,8,1,
poly_243,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_244,15,18,-6,13,20,True,7,7,13,0,267,85,335,12311.508868519508,42.5,8,1,
poly_245,15,18,-6,13,20,True,7,7,15,0,255,75,246,10485.499999998687,15.166666666666666,7,1,
poly_246,15,18,-6,13,20,True,6,6,16,0,266,78,370,10401.494240226002,,10,1,
poly_247,15,18,-6,13,20,True,7,7,15,0,271,89,397,4577.3333333332475,94.0,9,1,
poly_248,15,18,-6,13,20,True,7,7,15,0,263,85,235,5283.252648887839,40.5,11,1,
poly_249,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_250,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_251,15,18,-6,13,20,True,7,7,14,0,263,89,1536,15753.49999999758,96.0,8,1,
poly_252,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_253,15,18,-6,13,20,True,7,7,14,0,264,79,134,9719.333333278295,44.0,9,1,
poly_254,15,18,-6,13,20,True,7,7,14,0,268,83,173,7034.174429866609,80.0,10,1,
poly_255,15,18,-6,14,21,True,7,7,15,0,272,81,940,25443.51234545618,29.333333333333332,10,1,
poly_256,15,18,-6,13,20,True,6,6,15,0,274,84,643,9331.833333331091,,10,1,
poly_257,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_258,15,18,-6,13,20,True,7,7,17,0,274,83,308,10555.503126875325,43.5,7,1,
poly_259,15,18,-6,13,20,True,7,7,15,0,267,82,224,7222.249999999407,86.0,9,1,
poly_260,15,18,-6,13,20,True,6,6,15,0,273,81,860,7898.499999997902,,7,1,
poly_261,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_262,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_263,15,18,-6,13,20,True,7,7,15,0,271,76,401,9311.557912750097,44.0,9,1,
poly_264,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_265,15,18,-6,13,20,True,7,7,12,0,255,86,1160,5603.833333333282,22.0,8,2,
poly_266,15,18,-6,14,20,True,7,7,16,0,279,91,1466,9411.773730906218,18.2,9,1,
poly_267,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_268,15,18,-6,13,20,True,7,7,15,1,270,78,63,12213.999999941068,90.0,9,1,
poly_269,15,18,-6,13,20,True,6,6,16,0,275,85,351,7589.999999999285,,10,1,
poly_270,15,18,-6,13,20,True,7,7,15,0,260,86,392,10707.499999989031,45.0,11,1,
poly_271,15,18,-6,13,20,True,7,7,15,0,278,75,1139,4053.8333333332184,85.0,8,1,
poly_272,15,18,-6,13,20,True,7,7,16,0,269,78,446,3494.3787836386855,28.666666666666668,10,2,
poly_273,15,18,-6,13,21,True,7,7,13,0,260,97,219,77129.1666665791,31.0,9,1,
poly_274,15,18,-6,13,20,True,7,7,13,1,248,83,410,8205.800324587708,49.0,9,1,
poly_275,15,18,-6,13,20,True,7,7,16,0,274,77,137,25864.66666665619,91.0,8,1,
poly_276,15,18,-6,15,21,True,7,7,14,0,276,87,3168,3040.27618285149,88.0,9,1,
poly_277,15,18,-6,13,20,True,6,6,15,0,268,80,131,16320.499999889114,,10,1,
poly_278,15,18,-6,13,20,True,7,7,14,0,265,74,445,12328.499999967076,22.0,9,1,
poly_279,15,18,-6,13,20,True,7,7,14,0,269,81,150,10122.49999997374,17.6,6,1,
poly_280,15,18,-6,13,20,True,7,7,14,0,262,78,643,6450.999999999736,29.333333333333332,9,1,
poly_281,15,18,-6,13,20,True,7,7,15,0,266,88,1747,7640.104166637706,48.0,10,1,
poly_282,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_283,15,18,-6,13,20,True,7,7,14,0,267,78,114,14102.499999939006,22.0,7,1,
poly_284,15,18,-6,13,20,True,7,7,13,0,260,81,341,13766.373340451375,88.0,9,1,
poly_285,15,18,-6,15,20,True,7,7,15,0,276,88,192,9095.166666662126,17.8,8,1,
poly_286,15,18,-6,13,21,True,7,7,17,0,277,73,367,5262.666666662275,85.0,8,1,
poly_287,15,18,-6,13,20,True,7,7,15,0,276,77,847,7131.166666665791,84.0,8,1,
poly_288,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_289,15,18,-6,14,22,True,7,7,14,0,268,85,833,11719.999999904736,11.714285714285714,9,1,
poly_290,15,18,-6,14,20,True,7,7,16,0,274,89,132,4750.99999999992,89.0,9,1,
poly_291,15,18,-6,13,20,True,6,6,12,0,266,75,294,7514.833333331815,,9,1,
poly_292,15,18,-6,13,21,True,7,7,14,0,268,76,535,10876.534356945936,29.333333333333332,10,1,
poly_293,15,18,-6,13,20,True,7,7,14,0,269,72,668,6147.434213307766,30.333333333333332,10,1,
poly_294,15,18,-6,13,20,True,7,7,13,0,274,73,115,3090.833333333304,86.0,9,2,
poly_295,15,18,-6,13,20,True,6,6,12,0,270,80,133,7145.208333327137,,6,1,
poly_296,15,18,-6,13,20,True,6,6,13,1,260,71,115,8196.927592980453,,8,1,
poly_297,15,18,-6,13,20,True,6,6,15,0,270,76,208,4637.833333333339,,8,1,
poly_298,15,18,-6,13,20,True,7,7,14,0,277,71,296,1967.6666666666629,85.0,8,2,
poly_299,15,18,-6,13,20,True,7,7,15,0,277,77,537,10585.833333315073,28.333333333333332,9,2,
poly_300,15,18,-6,13,20,True,7,7,14,0,267,70,248,2104.000000000011,28.333333333333332,10,1,
poly_301,15,18,-6,13,20,True,7,7,16,0,266,72,1304,1714.6538184955498,17.0,7,2,
poly_302,15,18,-6,13,20,True,7,7,13,0,267,70,172,2618.999999999982,42.5,7,2,
poly_303,15,18,-6,13,20,True,7,7,14,0,256,73,314,2476.666666666651,21.25,8,1,
poly_304,15,18,-6,14,22,True,7,7,15,0,262,88,511,34170.8333333073,88.0,8,2,
poly_305,15,18,-6,13,20,True,6,6,14,0,273,72,489,5487.33333333186,,7,1,
poly_306,15,18,-6,13,20,True,7,7,13,0,265,75,287,2378.711568303021,86.0,7,1,
poly_307,15,18,-6,13,21,True,7,7,15,0,263,85,255,12958.2002684109,22.0,10,1,
poly_308,15,18,-6,13,20,True,7,7,15,2,261,78,67,5689.999999997821,32.333333333333336,7,1,
poly_309,15,18,-6,13,20,True,7,7,14,0,267,83,75,19315.83333332536,28.666666666666668,9,1,
poly_310,15,18,-6,13,20,True,7,7,14,0,255,87,193,9484.249999999598,21.5,8,2,
poly_311,15,18,-6,13,20,True,7,7,15,0,265,76,981,6707.25124324336,17.0,8,2,
poly_312,15,18,-6,13,21,True,7,7,14,0,268,80,1097,6216.981481480396,23.0,9,1,
poly_313,15,18,-6,13,20,True,7,7,11,0,253,75,175,5166.138666666658,28.333333333333332,6,2,
poly_314,15,18,-6,14,20,True,6,6,17,0,280,79,1025,3068.438552499348,,8,1,
poly_315,15,18,-6,14,20,True,7,7,14,0,285,84,216,24401.654520392403,14.666666666666666,6,1,
poly_316,15,18,-6,14,20,True,6,6,15,0,273,76,1368,1468.2329510073137,,6,2,
poly_317,15,18,-6,14,20,True,7,7,15,0,274,89,611,17721.83333325635,90.0,8,1,
poly_318,15,18,-6,14,20,True,7,7,15,0,273,88,1576,6740.270833333297,30.0,8,1,
poly_319,15,18,-6,14,20,True,6,6,15,0,284,82,4724,2377.6058093955858,,9,1,
poly_320,15,18,-6,14,20,True,7,7,15,0,279,88,966,5884.6666666636775,90.0,10,1,
poly_321,15,18,-6,14,20,True,7,7,13,0,278,74,486,2471.102263411455,41.5,8,1,
poly_322,15,18,-6,14,20,True,7,7,16,0,279,78,137,6190.49999999979,88.0,8,1,
poly_323,15,18,-6,14,20,True,7,7,15,0,277,78,320,3619.3333333323803,22.25,8,1,
poly_324,15,18,-6,14,20,True,7,7,15,0,273,88,1341,7738.5173713821805,91.0,11,1,
poly_325,15,18,-6,15,20,True,7,7,15,0,275,88,557,14357.666666658373,89.0,7,2,
poly_326,15,18,-6,14,20,True,7,7,15,0,272,82,191,5293.937075936376,22.25,9,1,
poly_327,15,18,-6,14,20,True,6,6,15,0,281,84,511,7257.707112446741,,9,1,
poly_328,15,18,-6,14,20,True,7,7,14,0,280,81,863,17299.16666666544,89.0,9,1,
poly_329,15,18,-6,14,20,True,7,7,14,0,276,87,350,14541.666666665538,42.0,9,1,
poly_330,15,18,-6,14,20,True,7,7,14,0,273,85,555,4139.975308637353,42.0,10,1,
poly_331,15,18,-6,14,20,True,7,7,16,0,278,74,384,4635.333333333299,86.0,8,1,
poly_332,15,18,-6,14,20,True,7,7,14,0,278,78,509,14512.999999991653,90.0,9,1,
poly_333,15,18,-6,14,20,True,7,7,16,0,278,86,236,7368.666666666477,29.666666666666668,7,1,
poly_334,15,18,-6,14,20,True,7,7,14,0,278,75,339,9218.247617154408,87.0,10,1,
poly_335,15,18,-6,14,20,True,7,7,16,0,274,84,433,10873.999999978309,45.0,6,1,
poly_336,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_337,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_338,15,18,-6,14,20,True,7,7,14,0,263,81,342,17299.16666662515,18.2,9,1,
poly_339,15,18,-6,15,20,True,6,6,14,0,271,92,663,13853.499999999933,,10,1,
poly_340,15,18,-6,15,20,True,7,7,14,0,275,88,1484,6358.342943807923,30.0,7,1,
poly_341,15,18,-6,15,20,True,7,7,16,0,278,83,1870,9006.280097761175,30.333333333333332,9,1,
poly_342,15,18,-6,14,20,True,7,7,16,0,280,93,1665,4352.918643680309,45.0,8,1,
poly_343,15,18,-6,15,20,True,7,7,14,0,281,81,3402,3680.697096703231,89.0,6,2,
poly_344,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_345,15,18,-6,14,20,True,7,7,16,0,267,96,636,9043.333333333285,45.5,8,1,
poly_346,15,18,-6,14,20,True,7,7,15,0,273,80,1394,3066.367661487601,22.0,10,1,
poly_347,15,18,-6,14,20,True,7,7,14,0,284,82,1912,2925.642836224927,22.25,8,1,
poly_348,15,18,-6,14,20,True,6,6,14,0,280,88,342,15851.49999999675,,8,1,
poly_349,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_350,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_351,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_352,15,18,-6,15,20,True,7,7,15,0,284,79,388,7667.570114665651,87.0,10,1,
poly_353,15,18,-6,14,20,True,7,7,16,0,272,85,649,8113.333333333289,92.0,10,1,
poly_354,15,18,-6,14,20,True,7,7,16,0,293,89,778,5711.556904068508,88.0,9,1,
poly_355,15,18,-6,15,20,True,7,7,15,0,277,94,375,7159.666666666609,90.0,11,1,
poly_356,15,18,-6,14,20,True,7,7,15,0,283,94,1300,6899.833333333315,86.0,8,1,
poly_357,15,18,-6,14,20,True,7,7,14,0,275,78,786,3944.1715974638378,92.0,9,1,
poly_358,15,18,-6,14,20,True,7,7,13,0,278,80,221,8303.544479777735,46.0,6,1,
poly_359,15,18,-6,14,20,True,7,7,14,0,269,83,785,5806.085876085789,22.25,8,1,
