rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
172,7,22,10,36,1548,5,False,0.0,5,8,6,13,False,8,True,True,su(3) × su(3) × su(2) × su(4) × su(4) × U(1)^1,1.5090291500091553
173,2467,22,10,6,3014,8,False,0.0,6,7,9,15,False,7,True,True,su(3) × su(3) × su(2) × su(2) × su(5) × U(1)^2,2.3169898986816406
174,747,22,10,10,1602,6,False,0.0,4,4,9,14,False,4,True,True,su(5) × su(8) or e7 × U(1)^3,0.8231146335601807
175,1245,22,9,7,1284,5,False,0.0,7,15,5,16,True,15,True,True,su(4) × su(5) × su(4) × su(3) × U(1)^1,0.8746905326843262
176,2403,22,9,7,1152,6,False,0.0,6,11,6,16,True,11,True,True,su(4) × su(4) × su(5) × su(3) × U(1)^1,0.8153524398803711
177,544,22,9,6,2760,6,False,0.0,4,4,7,15,False,4,True,True,su(3) × su(2) × su(4) × su(3) × su(3) × U(1)^2,2.0317623615264893
178,1156,22,9,12,1996,1,False,0.0,3,3,8,14,False,3,True,False,su(2) × su(4) × su(4) × su(3) × U(1)^1,1.8152155876159668
179,469,22,8,13,2168,3,False,0.0,6,13,6,13,False,13,True,True,su(6) × su(3) × su(4) × U(1)^4,0.9337494373321533
180,2234,22,8,9,1770,5,False,0.0,6,11,8,13,False,11,True,True,su(3) × su(4) × su(2) × su(5) × U(1)^3,1.1376526355743408
181,1883,22,8,6,1546,7,False,0.0,6,11,4,13,False,11,True,True,su(4) × su(2) × su(7) × U(1)^4,0.6418874263763428
182,309,22,8,16,2278,7,False,0.0,5,6,6,15,False,6,True,True,su(3) × su(6) × su(2) × su(4) × su(2),1.1387732028961182
183,203,22,8,19,2508,4,False,0.0,3,3,6,14,False,3,True,True,su(4) × su(8) or e7 × U(1)^2,2.0279767513275146
184,165,22,7,9,2300,7,False,0.0,5,6,7,15,False,6,True,True,su(4) × su(4) × su(3) × su(5) × su(2),2.0527493953704834
185,259,22,7,5,2950,6,False,0.0,4,4,5,15,False,4,True,True,su(2) × su(4) × su(7) × U(1)^2,1.469712495803833
186,3,22,6,7,1706,8,False,0.0,4,4,5,13,False,4,True,True,su(3) × su(4) × su(5) × su(3),0.579204797744751
187,656,22,5,8,2562,5,False,0.0,6,11,4,15,False,11,True,True,su(3) × su(3) × su(4) × su(5) × U(1)^2,1.3316712379455566
188,324,22,5,6,2314,4,False,0.0,4,4,2,15,False,4,True,True,su(2) × su(3) × su(4) × su(2) × su(4) × U(1)^2,1.1703174114227295
189,1153,22,5,8,2070,4,False,0.0,3,3,4,14,False,3,True,False,su(2) × su(4) × su(2) × su(4) × su(3),1.8928444385528564
190,294,22,5,5,1404,7,False,0.0,3,3,4,16,True,3,True,True,su(5) × su(8) or e7 × su(2),1.0956318378448486
