rank,poly_idx,score,gap,h11_eff,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
23,7,22,3,13,10,36,1548,5,False,0.0,5,8,6,False,8,True,True,su(3) × su(3) × su(2) × su(4) × su(4) × U(1)^1,1.8204169273376465
24,469,22,3,13,8,13,2168,3,False,0.0,6,13,6,False,13,True,True,su(6) × su(3) × su(4) × U(1)^4,2.51764178276062
25,2234,22,3,13,8,9,1770,5,False,0.0,6,11,8,False,11,True,True,su(3) × su(4) × su(2) × su(5) × U(1)^3,1.610846757888794
26,1883,22,3,13,8,6,1546,7,False,0.0,6,11,4,False,11,True,True,su(4) × su(2) × su(7) × U(1)^4,1.928396463394165
27,3,22,3,13,6,7,1706,8,False,0.0,4,4,5,False,4,True,True,su(3) × su(4) × su(5) × su(3),1.6294200420379639
28,239,26,2,14,38,6,2210,2,True,0.004257821665898153,3,1,20,False,1,True,True,su(7) × su(5) × U(1)^3,3.5751149654388428
29,329,26,2,14,34,15,2254,6,True,108.97877697366786,6,7,20,False,7,True,True,su(5) × su(3) × su(2) × su(4) × U(1)^1,2.6366801261901855
30,169,26,2,14,31,12,2734,5,True,109.99999999999727,4,4,11,False,4,True,True,su(4) × su(4) × su(3) × su(3) × U(1)^1,3.5847408771514893
31,1775,26,2,14,27,9,1880,5,True,949.9800068433216,3,3,17,False,3,True,True,su(5) × su(7) × U(1)^2,3.4136414527893066
32,140,26,2,14,26,10,2576,6,True,127.99999999999932,4,4,14,False,4,True,True,su(3) × su(4) × su(5) × U(1)^4,3.128265380859375
33,204,26,2,14,24,15,2498,6,True,416.4999999999965,6,7,16,False,7,True,True,su(3) × su(5) × su(5) × U(1)^3,2.853267192840576
34,134,26,2,14,24,10,2314,3,True,168.00488463530894,3,1,18,False,1,True,True,su(5) × su(7) × U(1)^3,2.454293966293335
35,86,26,2,14,24,10,1880,5,True,1535.9999999996921,4,4,14,False,4,True,True,su(3) × su(7) × su(4) × U(1)^2,2.5498993396759033
36,91,26,2,14,22,11,1834,5,True,213.99999999998593,2,1,15,False,1,True,False,su(3) × su(3) × su(3) × U(1)^4,3.532015800476074
37,695,26,2,14,21,9,2062,7,True,73.4418631170796,4,6,17,False,6,True,True,su(3) × su(2) × su(5) × su(2) × su(3) × U(1)^2,2.577035903930664
38,302,26,2,14,21,7,1864,6,True,216.04247598788442,5,10,14,False,10,True,True,su(2) × su(2) × su(2) × su(4) × su(5) × U(1)^1,2.455592393875122
39,194,26,2,14,20,9,2112,3,True,119.99999999984448,2,1,12,False,1,True,True,su(6) × su(2) × su(2) × su(4) × U(1)^2,3.934629440307617
40,1102,26,2,14,19,12,1718,4,True,237.49999999999852,3,1,13,False,1,True,True,su(6) × su(6) × U(1)^3,2.6909875869750977
41,776,26,2,14,18,10,2186,4,True,629.9999999999757,3,3,14,False,3,True,True,su(6) × su(2) × su(2) × su(2) × su(3) × U(1)^2,3.0843703746795654
42,774,26,2,14,18,9,2088,7,True,46.499999999999964,4,4,11,False,4,True,True,su(2) × su(3) × su(8) or e7 × U(1)^2,2.3071625232696533
43,76,26,2,14,15,9,1956,6,True,412.5000000000225,4,6,11,False,6,True,True,su(3) × su(4) × su(3) × su(4) × U(1)^1,3.4879868030548096
44,304,26,2,14,15,9,1820,4,True,111.9999999999996,3,1,10,False,1,True,False,su(3) × su(3) × U(1)^8,2.1501498222351074
45,479,26,2,14,15,9,1564,7,True,28.49999999997025,4,6,10,False,6,True,True,su(2) × su(5) × su(2) × su(4) × su(2) × U(1)^1,2.072040557861328
46,395,26,2,14,14,6,2356,4,True,106.49999999999623,6,11,11,False,11,True,True,su(3) × su(2) × su(2) × su(3) × su(3) × su(2) × su(2),4.1559693813323975
47,2275,26,2,14,14,6,2114,3,True,964.8749999968836,5,8,11,False,8,True,True,su(4) × su(7) × su(2) × U(1)^2,2.868400812149048
48,231,26,2,14,11,19,1938,6,True,149.98836912028824,4,4,10,False,4,True,True,su(5) × su(8) or e7 × U(1)^3,2.4888222217559814
49,146,26,2,14,10,10,1974,3,True,1.9999999999999982,4,4,10,False,4,True,True,su(2) × su(4) × su(7) × U(1)^3,1.9330551624298096
50,1592,25,2,14,17,6,2462,6,True,2861.8942113898447,6,13,8,False,13,True,True,su(2) × su(4) × su(3) × su(5) × U(1)^2,3.5863773822784424
