h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,h0_3_count,status
16,19,2106,True,16,1352,1352,2,0,ok
16,19,2107,True,16,1128,1128,3,4,ok
16,19,2108,True,16,1360,1360,3,4,ok
16,19,2109,True,16,1244,1244,1,0,ok
16,19,2110,False,15,2658,2658,4,34,ok
16,19,2111,True,16,1540,1540,3,2,ok
16,19,2112,True,16,1352,1352,1,0,ok
16,19,2113,True,16,1514,1514,2,0,ok
16,19,2114,True,16,1180,1180,3,6,ok
16,19,2115,True,16,1366,1366,1,0,ok
16,19,2116,False,15,3346,3346,2,0,ok
16,19,2117,True,16,1302,1302,3,2,ok
16,19,2118,True,16,1600,1600,3,4,ok
16,19,2119,True,16,866,866,1,0,ok
16,19,2120,True,16,1602,1602,3,2,ok
16,19,2121,False,15,2182,2182,1,0,ok
16,19,2122,True,16,1484,1484,1,0,ok
16,19,2123,False,15,2898,2898,1,0,ok
16,19,2124,True,16,1080,1080,2,0,ok
16,19,2125,False,15,2096,2096,1,0,ok
16,19,2126,True,16,1306,1306,3,16,ok
16,19,2127,True,16,1252,1252,1,0,ok
16,19,2128,False,15,2564,2564,1,0,ok
16,19,2129,False,15,2034,2034,4,88,ok
16,19,2130,True,16,1304,1304,1,0,ok
16,19,2131,True,16,1184,1184,4,10,ok
16,19,2132,True,16,1446,1446,2,0,ok
16,19,2133,True,16,1322,1322,2,0,ok
16,19,2134,True,16,1300,1300,2,0,ok
16,19,2135,True,16,1422,1422,3,4,ok
16,19,2136,False,15,2536,2536,4,6,ok
16,19,2137,True,16,1248,1248,2,0,ok
16,19,2138,True,16,1294,1294,2,0,ok
16,19,2139,True,16,1212,1212,2,0,ok
16,19,2140,True,16,1284,1284,2,0,ok
16,19,2141,True,16,1148,1148,1,0,ok
16,19,2142,True,16,848,848,3,2,ok
16,19,2143,True,16,1128,1128,2,0,ok
16,19,2144,True,16,1254,1254,2,0,ok
16,19,2145,True,16,1172,1172,1,0,ok
16,19,2146,True,16,1316,1316,3,4,ok
16,19,2147,True,16,1092,1092,1,0,ok
16,19,2148,True,16,1640,1640,1,0,ok
16,19,2149,True,16,1068,1068,1,0,ok
16,19,2150,True,16,1434,1434,1,0,ok
16,19,2151,True,16,1338,1338,3,4,ok
16,19,2152,True,16,1156,1156,1,0,ok
16,19,2153,True,16,1160,1160,1,0,ok
16,19,2154,True,16,1376,1376,1,0,ok
16,19,2155,False,14,2282,2282,2,0,ok
16,19,2156,True,16,1686,1686,2,0,ok
16,19,2157,True,16,1114,1114,1,0,ok
16,19,2158,True,16,1248,1248,1,0,ok
16,19,2159,True,16,1482,1482,1,0,ok
16,19,2160,True,16,1264,1264,3,2,ok
16,19,2161,True,16,1380,1380,1,0,ok
16,19,2162,True,16,1150,1150,3,12,ok
16,19,2163,True,16,1314,1314,1,0,ok
16,19,2164,False,15,2234,2234,3,2,ok
16,19,2165,False,15,2606,2606,3,2,ok
16,19,2166,True,16,1238,1238,4,4,ok
16,19,2167,True,16,1132,1132,1,0,ok
16,19,2168,True,16,1218,1218,3,2,ok
16,19,2169,True,16,1414,1414,1,0,ok
16,19,2170,False,15,2332,2332,4,40,ok
16,19,2171,True,16,980,980,1,0,ok
16,19,2172,True,16,1466,1466,3,2,ok
16,19,2173,True,16,1458,1458,1,0,ok
16,19,2174,True,16,1472,1472,2,0,ok
16,19,2175,True,16,1146,1146,3,16,ok
16,19,2176,True,16,1310,1310,2,0,ok
16,19,2177,True,16,1358,1358,3,24,ok
16,19,2178,True,16,1380,1380,1,0,ok
16,19,2179,False,15,2552,2552,4,18,ok
16,19,2180,True,16,1190,1190,1,0,ok
16,19,2181,True,16,1282,1282,3,2,ok
16,19,2182,True,16,1252,1252,3,2,ok
16,19,2183,True,16,1532,1532,1,0,ok
16,19,2184,True,16,1232,1232,2,0,ok
16,19,2185,True,16,1466,1466,2,0,ok
16,19,2186,True,16,948,948,1,0,ok
16,19,2187,True,16,1270,1270,2,0,ok
16,19,2188,True,16,1348,1348,3,2,ok
16,19,2189,False,15,2158,2158,4,32,ok
16,19,2190,False,15,2836,2836,4,34,ok
16,19,2191,True,16,1152,1152,3,12,ok
16,19,2192,True,16,1062,1062,3,6,ok
16,19,2193,True,16,1210,1210,3,8,ok
16,19,2194,True,16,1314,1314,3,2,ok
16,19,2195,True,16,1330,1330,3,4,ok
16,19,2196,True,16,1142,1142,3,6,ok
16,19,2197,True,16,908,908,3,6,ok
16,19,2198,False,15,1922,1922,1,0,ok
16,19,2199,True,16,1226,1226,2,0,ok
16,19,2200,True,16,1214,1214,1,0,ok
16,19,2201,True,16,1772,1772,3,2,ok
16,19,2202,True,16,1096,1096,3,6,ok
16,19,2203,True,16,1612,1612,3,16,ok
16,19,2204,True,16,1314,1314,3,76,ok
16,19,2205,True,16,1240,1240,3,4,ok
16,19,2206,True,16,986,986,4,28,ok
16,19,2207,True,16,1020,1020,1,0,ok
16,19,2208,False,13,1416,1416,4,20,ok
16,19,2209,False,14,1446,1446,1,0,ok
16,19,2210,True,16,1290,1290,3,6,ok
16,19,2211,True,16,1388,1388,1,0,ok
16,19,2212,True,16,1264,1264,2,0,ok
16,19,2213,False,15,2218,2218,4,116,ok
16,19,2214,True,16,1188,1188,3,14,ok
16,19,2215,True,16,1098,1098,1,0,ok
16,19,2216,True,16,1164,1164,1,0,ok
16,19,2217,True,16,1092,1092,1,0,ok
16,19,2218,True,16,1160,1160,1,0,ok
16,19,2219,True,16,1040,1040,3,2,ok
16,19,2220,True,16,1684,1684,1,0,ok
16,19,2221,True,16,1458,1458,3,16,ok
16,19,2222,True,16,1302,1302,1,0,ok
16,19,2223,False,14,1900,1900,4,100,ok
16,19,2224,True,16,1106,1106,2,0,ok
16,19,2225,True,16,1238,1238,3,8,ok
16,19,2226,True,16,1048,1048,1,0,ok
16,19,2227,True,16,1108,1108,3,6,ok
16,19,2228,False,15,2092,2092,1,0,ok
16,19,2229,True,16,980,980,1,0,ok
16,19,2230,True,16,1270,1270,1,0,ok
16,19,2231,True,16,1158,1158,3,10,ok
16,19,2232,True,16,1210,1210,1,0,ok
16,19,2233,True,16,1138,1138,3,8,ok
16,19,2234,False,13,1770,1770,9,22,ok
16,19,2235,True,16,1282,1282,3,4,ok
16,19,2236,True,16,1522,1522,1,0,ok
16,19,2237,True,16,1470,1470,3,4,ok
16,19,2238,True,16,1074,1074,3,14,ok
16,19,2239,True,16,1276,1276,1,0,ok
16,19,2240,True,16,1164,1164,3,4,ok
16,19,2241,True,16,1016,1016,1,0,ok
16,19,2242,True,16,1252,1252,3,50,ok
16,19,2243,True,16,1014,1014,1,0,ok
16,19,2244,True,16,1202,1202,3,6,ok
16,19,2245,True,16,1100,1100,3,14,ok
16,19,2246,True,16,1348,1348,3,14,ok
16,19,2247,True,16,1312,1312,1,0,ok
16,19,2248,True,16,1298,1298,1,0,ok
16,19,2249,True,16,1200,1200,1,0,ok
16,19,2250,True,16,1222,1222,1,0,ok
16,19,2251,True,16,1110,1110,3,22,ok
16,19,2252,True,16,626,626,3,6,ok
16,19,2253,False,15,2314,2314,4,54,ok
16,19,2254,True,16,1256,1256,1,0,ok
16,19,2255,True,16,1142,1142,3,22,ok
16,19,2256,False,15,2756,2756,3,4,ok
16,19,2257,True,16,1106,1106,3,34,ok
16,19,2258,True,16,1418,1418,2,0,ok
16,19,2259,False,15,2282,2282,1,0,ok
16,19,2260,True,16,1254,1254,3,10,ok
16,19,2261,False,14,1914,1914,4,22,ok
16,19,2262,True,16,990,990,1,0,ok
16,19,2263,True,16,1174,1174,1,0,ok
16,19,2264,True,16,994,994,1,0,ok
16,19,2265,True,16,1384,1384,3,14,ok
16,19,2266,True,16,1114,1114,7,22,ok
16,19,2267,True,16,1074,1074,6,48,ok
16,19,2268,True,16,968,968,3,4,ok
16,19,2269,True,16,1422,1422,1,0,ok
16,19,2270,True,16,1150,1150,1,0,ok
16,19,2271,True,16,1288,1288,2,0,ok
16,19,2272,False,15,1998,1998,3,6,ok
16,19,2273,True,16,1142,1142,2,0,ok
16,19,2274,False,15,1874,1874,1,0,ok
16,19,2275,False,14,2114,2114,6,46,ok
16,19,2276,True,16,1384,1384,3,26,ok
16,19,2277,True,16,1554,1554,1,0,ok
16,19,2278,True,16,1688,1688,3,12,ok
16,19,2279,True,16,1566,1566,1,0,ok
16,19,2280,True,16,1408,1408,2,0,ok
16,19,2281,True,16,1132,1132,1,0,ok
16,19,2282,False,14,1678,1678,1,0,ok
16,19,2283,True,16,1180,1180,1,0,ok
16,19,2284,False,15,2992,2992,4,20,ok
16,19,2285,True,16,1082,1082,3,6,ok
16,19,2286,True,16,1456,1456,2,0,ok
16,19,2287,True,16,1338,1338,3,6,ok
16,19,2288,False,14,2280,2280,1,0,ok
16,19,2289,True,16,1430,1430,1,0,ok
16,19,2290,True,16,1142,1142,2,0,ok
16,19,2291,True,16,1304,1304,1,0,ok
16,19,2292,True,16,1314,1314,1,0,ok
16,19,2293,False,14,1460,1460,1,0,ok
16,19,2294,True,16,1236,1236,3,48,ok
16,19,2295,True,16,1366,1366,1,0,ok
16,19,2296,True,16,1278,1278,1,0,ok
16,19,2297,True,16,1012,1012,3,6,ok
16,19,2298,True,16,1376,1376,1,0,ok
16,19,2299,True,16,1524,1524,1,0,ok
16,19,2300,True,16,1466,1466,1,0,ok
16,19,2301,False,14,1750,1750,8,112,ok
16,19,2302,True,16,1550,1550,3,20,ok
16,19,2303,True,16,1092,1092,1,0,ok
16,19,2304,True,16,1476,1476,1,0,ok
16,19,2305,True,16,872,872,1,0,ok
16,19,2306,True,16,904,904,1,0,ok
16,19,2307,True,16,1564,1564,1,0,ok
16,19,2308,True,16,1280,1280,1,0,ok
16,19,2309,True,16,1282,1282,1,0,ok
16,19,2310,True,16,1696,1696,1,0,ok
16,19,2311,True,16,954,954,1,0,ok
16,19,2312,True,16,1266,1266,2,0,ok
16,19,2313,True,16,1280,1280,3,2,ok
16,19,2314,True,16,1408,1408,1,0,ok
16,19,2315,True,16,990,990,1,0,ok
16,19,2316,True,16,1472,1472,3,6,ok
16,19,2317,True,16,920,920,1,0,ok
16,19,2318,True,16,1242,1242,1,0,ok
16,19,2319,True,16,778,778,1,0,ok
16,19,2320,True,16,920,920,1,0,ok
16,19,2321,True,16,1036,1036,3,18,ok
16,19,2322,True,16,1264,1264,1,0,ok
16,19,2323,False,15,2060,2060,2,0,ok
16,19,2324,True,16,964,964,1,0,ok
16,19,2325,True,16,1144,1144,3,4,ok
16,19,2326,True,16,1384,1384,1,0,ok
16,19,2327,True,16,1492,1492,1,0,ok
16,19,2328,True,16,1082,1082,4,64,ok
16,19,2329,True,16,1106,1106,1,0,ok
16,19,2330,True,16,1260,1260,3,6,ok
16,19,2331,True,16,1120,1120,3,28,ok
16,19,2332,True,16,1274,1274,3,6,ok
16,19,2333,True,16,1302,1302,2,0,ok
16,19,2334,True,16,1020,1020,3,12,ok
16,19,2335,True,16,1214,1214,1,0,ok
16,19,2336,True,16,1218,1218,1,0,ok
16,19,2337,True,16,1416,1416,1,0,ok
16,19,2338,True,16,1652,1652,2,0,ok
16,19,2339,True,16,1528,1528,1,0,ok
16,19,2340,False,15,3538,3538,4,26,ok
16,19,2341,True,16,1296,1296,1,0,ok
16,19,2342,False,15,2814,2814,2,0,ok
16,19,2343,True,16,1420,1420,1,0,ok
16,19,2344,True,16,1290,1290,1,0,ok
16,19,2345,False,15,2822,2822,4,4,ok
16,19,2346,True,16,1242,1242,3,8,ok
16,19,2347,True,16,1242,1242,3,8,ok
16,19,2348,True,16,1476,1476,1,0,ok
16,19,2349,True,16,1378,1378,2,0,ok
16,19,2350,True,16,1702,1702,1,0,ok
16,19,2351,False,15,3050,3050,4,10,ok
16,19,2352,False,15,3564,3564,2,0,ok
16,19,2353,True,16,1802,1802,1,0,ok
16,19,2354,True,16,1606,1606,1,0,ok
16,19,2355,True,16,1566,1566,2,0,ok
16,19,2356,True,16,1282,1282,3,2,ok
16,19,2357,True,16,1212,1212,1,0,ok
16,19,2358,False,15,2460,2460,1,0,ok
16,19,2359,True,16,1632,1632,1,0,ok
16,19,2360,True,16,1270,1270,1,0,ok
16,19,2361,True,16,1040,1040,4,10,ok
16,19,2362,False,15,2784,2784,4,20,ok
16,19,2363,True,16,906,906,2,0,ok
16,19,2364,True,16,1564,1564,1,0,ok
16,19,2365,False,15,2788,2788,1,0,ok
16,19,2366,False,15,2308,2308,4,8,ok
16,19,2367,True,16,1600,1600,1,0,ok
16,19,2368,True,16,982,982,1,0,ok
16,19,2369,True,16,1194,1194,2,0,ok
16,19,2370,True,16,884,884,1,0,ok
16,19,2371,True,16,1268,1268,1,0,ok
16,19,2372,True,16,1212,1212,1,0,ok
16,19,2373,True,16,1302,1302,1,0,ok
16,19,2374,True,16,1354,1354,3,2,ok
16,19,2375,True,16,1278,1278,1,0,ok
16,19,2376,True,16,1382,1382,1,0,ok
16,19,2377,True,16,1100,1100,3,4,ok
16,19,2378,True,16,1574,1574,2,0,ok
16,19,2379,True,16,1600,1600,1,0,ok
16,19,2380,True,16,1108,1108,1,0,ok
16,19,2381,True,16,1232,1232,1,0,ok
16,19,2382,True,16,1444,1444,3,4,ok
16,19,2383,True,16,1396,1396,1,0,ok
16,19,2384,True,16,1056,1056,3,4,ok
16,19,2385,True,16,1480,1480,1,0,ok
16,19,2386,True,16,1358,1358,1,0,ok
16,19,2387,True,16,1170,1170,3,2,ok
