h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
15,18,71,False,14,1724,41,3,41,40,pass
15,18,72,True,15,2468,2468,0,-1,2468,skip
15,18,73,True,15,2130,2130,0,-1,2130,skip
15,18,74,True,15,2162,365,3,365,364,pass
15,18,75,True,15,2140,366,3,366,365,pass
15,18,76,False,13,1266,1266,0,-1,1266,skip
15,18,77,False,14,1682,249,3,249,248,pass
15,18,78,False,14,1786,1786,0,-1,1786,skip
15,18,79,True,15,2392,113,4,113,112,pass
15,18,80,True,15,3040,2300,3,2300,2299,pass
15,18,81,True,15,2728,185,4,185,184,pass
15,18,82,True,15,2798,143,3,143,142,pass
15,18,83,True,15,2814,172,4,172,171,pass
15,18,84,True,15,2534,29,3,29,28,pass
15,18,85,True,15,2242,204,4,204,203,pass
15,18,86,False,13,1684,149,3,149,148,pass
15,18,87,True,15,2274,2274,0,-1,2274,skip
15,18,88,True,15,2634,32,4,32,31,pass
15,18,89,True,15,1858,3,3,3,2,pass
15,18,90,True,15,2146,226,3,226,225,pass
15,18,91,False,14,2292,39,3,39,38,pass
15,18,92,True,15,2660,1,3,1,0,pass
15,18,93,True,15,2280,23,3,23,22,pass
15,18,94,False,14,1968,1,3,1,0,pass
15,18,95,True,15,2238,51,3,51,50,pass
15,18,96,True,15,2570,1348,3,1348,1347,pass
15,18,97,True,15,1844,18,3,18,17,pass
15,18,98,True,15,2452,754,3,754,753,pass
15,18,99,False,14,1680,1680,0,-1,1680,skip
15,18,100,True,15,2856,98,3,98,97,pass
15,18,101,True,15,1872,35,4,35,34,pass
15,18,102,True,15,2456,192,3,192,191,pass
15,18,103,True,15,2428,160,3,160,159,pass
15,18,104,False,13,1646,1646,0,-1,1646,skip
15,18,105,True,15,2862,166,3,166,165,pass
15,18,106,True,15,2408,2408,0,-1,2408,skip
15,18,107,True,15,2302,142,3,142,141,pass
15,18,108,True,15,3184,3184,0,-1,3184,skip
15,18,109,True,15,2124,130,3,130,129,pass
15,18,110,True,15,2404,2404,0,-1,2404,skip
15,18,111,True,15,2286,1356,3,1356,1355,pass
15,18,112,True,15,2492,3,4,3,2,pass
15,18,113,False,12,1608,267,3,267,266,pass
15,18,114,True,15,1784,1784,0,-1,1784,skip
15,18,115,True,15,2176,87,3,87,86,pass
15,18,116,True,15,2208,90,3,90,89,pass
15,18,117,True,15,2136,2136,0,-1,2136,skip
15,18,118,True,15,2728,1152,3,1152,1151,pass
15,18,119,True,15,2488,2488,0,-1,2488,skip
15,18,120,True,15,2662,130,3,130,129,pass
15,18,121,True,15,2902,1612,3,1612,1611,pass
15,18,122,True,15,2586,65,3,65,64,pass
15,18,123,True,15,2322,25,3,25,24,pass
15,18,124,True,15,1912,1912,0,-1,1912,skip
15,18,125,True,15,2206,82,3,82,81,pass
15,18,126,True,15,2166,2166,0,-1,2166,skip
15,18,127,True,15,2062,1,3,1,0,pass
15,18,128,True,15,1614,1614,0,-1,1614,skip
15,18,129,True,15,1806,1,3,1,0,pass
15,18,130,False,14,2574,598,3,598,597,pass
15,18,131,False,14,2440,1439,3,1439,1438,pass
15,18,132,True,15,3072,3072,0,-1,3072,skip
15,18,133,True,15,2014,3,3,3,2,pass
15,18,134,False,14,1870,1870,0,-1,1870,skip
15,18,135,False,14,1554,1554,0,-1,1554,skip
15,18,136,True,15,2472,27,3,27,26,pass
15,18,137,False,14,2084,2084,0,-1,2084,skip
15,18,138,True,15,2236,88,4,88,87,pass
15,18,139,True,15,2132,1,3,1,0,pass
15,18,140,False,14,1660,1660,0,-1,1660,skip
15,18,141,True,15,2600,2600,0,-1,2600,skip
15,18,142,True,15,2772,2772,0,-1,2772,skip
15,18,143,True,15,2522,2522,0,-1,2522,skip
15,18,144,True,15,2080,1,3,1,0,pass
15,18,145,True,15,2474,12,3,12,11,pass
15,18,146,True,15,2382,1,3,1,0,pass
15,18,147,True,15,1946,8,3,8,7,pass
15,18,148,False,14,1824,1824,0,-1,1824,skip
15,18,149,True,15,2204,2204,0,-1,2204,skip
15,18,150,True,15,2406,171,3,171,170,pass
15,18,151,True,15,2602,34,3,34,33,pass
15,18,152,True,15,2440,2440,0,-1,2440,skip
15,18,153,True,15,2402,117,3,117,116,pass
15,18,154,True,15,1952,1952,0,-1,1952,skip
15,18,155,True,15,3004,3004,0,-1,3004,skip
15,18,156,True,15,1960,1960,0,-1,1960,skip
15,18,157,True,15,2768,2768,0,-1,2768,skip
15,18,158,True,15,2352,351,3,351,350,pass
15,18,159,False,14,2562,2562,0,-1,2562,skip
15,18,160,True,15,2308,1346,3,1346,1345,pass
