rank,h11,poly_idx,favorable,screen_score,clean_h0_3,h0_ge3,max_h0,n_dp,n_k3,has_swiss,best_tau,best_ratio,sym_order,n_chi3,elapsed_s
190,17,99,False,26,-1,-1,4,7,0,True,1599.9999999822578,0.024122160619398186,1,-1,0.7
191,19,29,False,26,-1,-1,4,2,1,True,31.499999999999545,0.0009015033628384716,2,-1,0.7
192,16,0,False,26,-1,-1,3,0,0,True,871.4999999999525,0.0280992453772076,8,-1,0.8
193,16,25,True,26,-1,-1,3,8,0,True,2099.999999998894,0.027275722610167343,1,-1,0.8
194,16,26,True,26,-1,-1,3,8,0,True,359.99999999542376,0.000907572129241899,1,-1,0.6
195,16,66,True,26,-1,-1,3,8,1,True,33.999999999998906,0.00089371036852014,1,-1,0.7
196,16,70,True,26,-1,-1,3,5,1,True,1.9939060740494994e-13,5.126960779611888e-18,1,-1,0.6
197,16,90,True,26,-1,-1,3,6,1,True,168.99999999941195,0.001540169846782743,1,-1,0.6
198,16,95,True,26,-1,-1,3,9,2,True,715.999989596175,0.0009830630673842691,1,-1,0.6
199,17,71,False,26,-1,-1,3,11,2,True,1282.4999999999422,0.028768624614581826,1,-1,0.6
200,17,73,True,26,-1,-1,3,10,1,True,71.99999999999699,0.0021979531512341896,1,-1,0.7
201,17,85,False,26,-1,-1,3,5,2,True,140.0000000000009,0.006502286680193845,1,-1,0.7
202,17,87,True,26,-1,-1,3,5,1,True,139.99999999999977,0.006154154590484601,1,-1,0.6
203,18,9,False,26,-1,-1,3,6,1,True,7.999999999999758,0.00030868561187795434,1,-1,0.6
204,18,12,False,26,-1,-1,3,5,2,True,87.99999999772015,0.0006920800927957676,1,-1,0.6
205,18,13,False,26,-1,-1,3,6,0,True,216.09297799584192,0.001282345970977329,1,-1,0.7
206,18,15,False,26,-1,-1,3,8,0,True,1290.1790721575564,0.0728273738434084,1,-1,0.6
207,18,20,True,26,-1,-1,3,9,1,True,3215.9999999962406,0.03039245432312117,1,-1,0.7
208,18,43,False,26,-1,-1,3,10,0,True,67.99999999997146,0.0008392614869406207,1,-1,0.6
209,18,81,False,26,-1,-1,3,8,0,True,1075.690617283704,0.038748754522649004,1,-1,0.7
210,18,87,False,26,-1,-1,3,7,0,True,920.9999999999008,0.050420588318002835,1,-1,0.7
211,18,95,False,26,-1,-1,3,5,1,True,2.000000000000604,2.918803904116428e-05,1,-1,0.7
212,18,96,False,26,-1,-1,3,7,0,True,1876.4999999985512,0.03160930277849237,1,-1,0.6
213,19,28,False,26,-1,-1,3,7,1,True,119.99999999997782,0.0017911029796527126,1,-1,0.7
214,15,349,True,26,-1,-1,12,3,0,False,,,1,-1,3.1
215,16,116,False,26,-1,-1,17,3,1,False,,,1,-1,0.7
216,16,278,False,26,-1,-1,14,3,1,False,,,1,-1,1.3
217,16,469,False,26,-1,-1,13,3,3,False,,,1,-1,1.7
218,16,99,False,25,-1,-1,6,7,1,False,None,None,1,-1,0.6
219,17,58,False,25,-1,-1,6,5,1,False,None,None,1,-1,0.6
220,14,6,True,25,-1,-1,5,6,1,False,None,None,1,-1,0.4
221,15,62,False,25,-1,-1,5,6,1,False,None,None,1,-1,0.6
222,16,93,False,25,-1,-1,5,5,2,False,None,None,1,-1,0.7
223,17,54,False,25,-1,-1,5,6,1,False,None,None,1,-1,0.7
224,19,69,False,25,-1,-1,5,7,0,False,None,None,1,-1,0.7
225,15,71,False,25,-1,-1,4,2,2,True,1.9999999999983729,0.00013429411428681135,1,-1,0.6
226,17,80,True,25,-1,-1,4,4,0,True,10841.999999990614,0.03404189733345152,2,-1,0.7
227,14,7,True,25,-1,-1,3,2,2,True,1005.7499999999083,0.015625501121641617,1,-1,0.6
228,15,34,True,25,-1,-1,3,2,2,True,199.97518375085235,0.006027408118792561,1,-1,0.7
229,15,39,True,25,-1,-1,3,2,1,True,1565.9999999564677,0.00826332661126454,1,-1,0.8
230,16,87,True,25,-1,-1,3,4,1,True,422.49999997577504,0.0015376480260561644,2,-1,0.6
231,17,29,True,25,-1,-1,3,4,0,True,22.000000000306954,0.0008884508720217984,2,-1,0.7
232,18,40,False,24,-1,-1,13,2,3,False,None,None,1,-1,0.6
233,17,95,False,24,-1,-1,10,2,0,False,None,None,1,-1,0.6
234,18,39,False,24,-1,-1,6,2,1,True,203.33333333151424,0.00076942637243902,1,-1,0.6
235,19,37,False,24,-1,-1,5,2,1,True,20334.99982602267,0.025932410638857685,1,-1,1.0
236,16,2,False,24,-1,-1,3,1,1,True,1661.9999991535744,0.004949949805893249,2,-1,0.6
237,16,65,True,24,-1,-1,3,4,1,True,2662.499999929107,0.016161126170094593,1,-1,0.7
238,17,12,True,24,-1,-1,3,4,2,True,4269.999999989326,0.04896687496799397,1,-1,0.6
239,17,76,False,24,-1,-1,3,4,1,True,749.9999999970714,0.012225246315316346,1,-1,0.7
240,18,46,False,24,-1,-1,3,4,1,True,568.4999999986323,0.010547003228607021,1,-1,0.6
241,18,88,False,24,-1,-1,3,4,2,True,2194.4999999972715,0.047417727989885215,1,-1,0.6
242,15,248,True,24,-1,-1,16,2,2,False,,,1,-1,1.5
243,17,4,False,23,-1,-1,12,1,2,False,None,None,2,-1,0.6
