h11,h21,poly_idx,favorable,h11_eff,max_h0_025,n_chi3_025,n_dp,dp_types,n_k3_div,n_rigid,has_swiss,n_swiss,best_swiss_tau,best_swiss_ratio,sym_order,screen_score,elapsed,status,error
18,21,85179,True,18,3,2012,13,dP4|dP7|dP6|dP7|dP8|dP7|dP5|dP7|dP4|dP5|dP4|dP5|dP5,0,18,True,1,912.0,0.09533,1,26,455.8411626815796,ok,
18,21,85212,True,18,3,1932,11,dP7|dP7|dP8|dP7|dP5|dP4|dP5|dP5|dP4|dP4|dP4,2,16,False,0,,,1,16,393.21418023109436,ok,
18,21,85208,True,18,3,1736,7,dP8|dP7|dP6|dP6|dP6|dP4|dP8,1,17,True,1,26.0,0.00330,1,26,477.5650677680969,ok,
18,21,85211,True,18,3,1772,9,dP6|dP7|dP5|dP6|dP4|dP7|dP5|dP5|dP4,0,18,True,5,32.0,0.00045,1,26,477.31864857673645,ok,
18,21,85228,True,18,3,1832,8,dP7|dP7|dP6|dP6|dP5|dP4|dP6|dP4,1,17,True,2,483.9,0.02023,1,26,457.6378948688507,ok,
18,21,85234,True,18,3,1980,14,dP5|dP8|dP6|dP5|dP5|dP8|dP6|dP5|dP6|dP4|dP4|dP6|dP4|dP4,0,18,False,0,,,1,16,447.21211981773376,ok,
18,21,85253,True,18,3,1648,10,dP5|dP7|dP5|dP6|dP4|dP5|dP6|dP4|dP5|dP4,2,16,False,0,,,1,16,318.10384225845337,ok,
18,21,85267,True,18,3,2104,9,dP8|dP7|dP7|dP4|dP6|dP5|dP4|dP7|dP4,3,15,False,0,,,1,16,292.2546639442444,ok,
18,21,85237,True,18,3,2014,12,dP8|dP8|dP4|dP8|dP7|dP7|dP6|dP5|dP6|dP6|dP5|dP4,0,18,True,1,2340.0,0.07480,1,26,449.9028687477112,ok,
18,21,85238,True,18,3,2024,9,dP7|dP5|dP7|dP7|dP8|dP6|dP5|dP6|dP5,1,17,True,1,134.0,0.01141,1,26,446.4982612133026,ok,
18,21,85242,True,18,3,1882,10,dP7|dP4|dP8|dP5|dP8|dP5|dP5|dP6|dP5|dP5,1,17,False,0,,,1,16,457.2273483276367,ok,
18,21,85250,True,18,3,1546,9,dP6|dP8|dP5|dP4|dP4|dP6|dP4|dP7|dP6,0,18,True,1,325.0,0.02483,1,26,456.6226487159729,ok,
18,21,85309,True,18,3,1790,10,dP5|dP8|dP8|dP5|dP4|dP4|dP4|dP6|dP4|dP4,2,16,True,3,32.5,0.00251,1,26,357.46844720840454,ok,
18,21,85259,True,18,3,1416,6,dP8|dP5|dP6|dP5|dP5|dP4,1,17,False,0,,,1,16,455.78584480285645,ok,
18,21,85304,True,18,3,2014,9,dP8|dP4|dP7|dP6|dP5|dP4|dP6|dP4|dP6,2,16,False,0,,,1,16,450.78707671165466,ok,
18,21,85308,True,18,3,1712,14,dP6|dP8|dP6|dP5|dP7|dP6|dP5|dP4|dP5|dP4|dP5|dP5|dP4|dP4,0,18,True,2,428.5,0.05359,1,26,420.3191947937012,ok,
18,21,85311,True,18,3,1994,10,dP4|dP6|dP7|dP8|dP4|dP6|dP4|dP6|dP4|dP4,2,16,True,1,200.0,0.00372,1,26,437.987934589386,ok,
18,21,85332,True,18,3,2020,13,dP4|dP6|dP6|dP8|dP5|dP6|dP6|dP4|dP5|dP4|dP4|dP4|dP4,1,17,False,0,,,1,16,323.2751371860504,ok,
18,21,85320,True,18,3,2010,10,dP8|dP6|dP8|dP5|dP4|dP4|dP4|dP5|dP4|dP4,1,17,False,0,,,1,16,464.836035490036,ok,
18,21,85331,True,18,3,2274,11,dP7|dP6|dP8|dP6|dP5|dP5|dP7|dP4|dP8|dP4|dP8,0,18,False,0,,,1,16,445.8000953197479,ok,
18,21,85378,True,18,3,2040,10,dP4|dP7|dP7|dP8|dP5|dP8|dP7|dP5|dP4|dP4,3,15,False,0,,,1,16,275.6549332141876,ok,
18,21,85345,True,18,3,2046,11,dP8|dP8|dP7|dP7|dP4|dP7|dP5|dP4|dP5|dP5|dP4,1,17,False,0,,,1,16,409.6156179904938,ok,
18,21,85333,True,18,3,1524,13,dP5|dP5|dP6|dP4|dP6|dP7|dP5|dP5|dP5|dP5|dP4|dP6|dP5,1,17,True,1,759.9,0.08060,1,26,451.4057595729828,ok,
18,21,85348,True,18,3,2082,13,dP8|dP7|dP6|dP4|dP4|dP6|dP7|dP6|dP4|dP4|dP5|dP5|dP6,0,18,True,2,314.9,0.03477,1,26,460.73920249938965,ok,
18,21,85349,True,18,3,1720,10,dP6|dP8|dP6|dP5|dP5|dP4|dP4|dP4|dP6|dP5,1,17,False,0,,,1,16,465.83403635025024,ok,
18,21,85388,True,18,3,1520,8,dP5|dP8|dP7|dP8|dP4|dP4|dP4|dP4,0,18,True,3,200.0,0.01543,1,26,318.63505244255066,ok,
18,21,85355,True,18,3,2278,13,dP7|dP6|dP6|dP6|dP5|dP5|dP4|dP5|dP6|dP6|dP8|dP7|dP4,0,18,False,0,,,1,16,463.1295030117035,ok,
18,21,85363,True,18,3,1758,13,dP6|dP5|dP4|dP4|dP7|dP5|dP4|dP4|dP4|dP6|dP4|dP8|dP4,2,16,True,2,124.0,0.00321,1,26,461.5919966697693,ok,
18,21,85381,True,18,3,2104,13,dP5|dP4|dP6|dP6|dP6|dP5|dP7|dP7|dP6|dP5|dP6|dP4|dP6,1,17,False,0,,,1,16,459.5566830635071,ok,
18,21,85386,True,18,3,1770,8,dP8|dP8|dP7|dP5|dP5|dP4|dP4|dP5,2,16,True,3,520.0,0.00897,1,26,461.68890404701233,ok,
18,21,85389,True,18,3,1884,11,dP6|dP8|dP7|dP7|dP7|dP5|dP4|dP4|dP6|dP5|dP4,0,18,True,1,100.5,0.00672,1,26,343.9210271835327,ok,
18,21,85413,True,18,3,2106,12,dP4|dP5|dP7|dP7|dP6|dP6|dP5|dP8|dP6|dP4|dP6|dP6,2,16,False,0,,,1,16,258.1308488845825,ok,
18,21,85390,True,18,3,2276,11,dP6|dP4|dP5|dP7|dP4|dP5|dP5|dP8|dP7|dP4|dP5,1,17,True,1,84.5,0.05166,1,26,402.3713119029999,ok,
18,21,85411,True,18,3,1882,13,dP5|dP4|dP4|dP6|dP6|dP4|dP4|dP6|dP8|dP8|dP7|dP5|dP4,2,16,True,1,204.0,0.02147,1,26,454.89002108573914,ok,
18,21,85412,True,18,3,1720,8,dP6|dP8|dP4|dP4|dP7|dP6|dP4|dP4,2,16,False,0,,,1,16,458.2117202281952,ok,
18,21,85436,True,18,3,2038,12,dP5|dP7|dP6|dP6|dP6|dP4|dP5|dP8|dP4|dP4|dP4|dP5,1,17,False,0,,,1,16,356.0931842327118,ok,
18,21,85416,True,18,3,1746,14,dP7|dP6|dP5|dP6|dP6|dP4|dP6|dP6|dP5|dP4|dP5|dP5|dP4|dP5,0,18,True,3,49.5,0.00455,1,26,470.7995710372925,ok,
18,21,85421,True,18,3,2142,11,dP8|dP8|dP6|dP7|dP6|dP7|dP5|dP6|dP8|dP7|dP4,0,18,True,1,532.0,0.02623,1,26,467.7183885574341,ok,
18,21,85423,True,18,3,1608,12,dP7|dP4|dP4|dP4|dP5|dP6|dP5|dP7|dP5|dP5|dP8|dP5,0,18,True,1,588.5,0.01995,1,26,467.54300451278687,ok,
18,21,85439,True,18,3,1762,10,dP4|dP6|dP5|dP5|dP6|dP5|dP5|dP6|dP6|dP6,1,17,True,4,175.0,0.02382,1,26,470.87102580070496,ok,
18,21,85509,True,18,3,1912,11,dP6|dP6|dP5|dP5|dP5|dP6|dP6|dP5|dP8|dP4|dP4,1,17,True,4,21.7,0.00066,1,26,269.6295464038849,ok,
18,21,85500,True,18,3,1958,10,dP7|dP8|dP5|dP6|dP7|dP5|dP4|dP6|dP4|dP4,1,17,True,2,0.5,0.00002,1,26,402.8589200973511,ok,
18,21,85440,True,18,3,1956,11,dP5|dP6|dP5|dP7|dP5|dP6|dP7|dP4|dP8|dP4|dP4,1,17,True,3,650.0,0.00479,1,26,455.7042443752289,ok,
18,21,85451,True,18,3,2316,11,dP6|dP8|dP6|dP4|dP5|dP6|dP8|dP5|dP5|dP4|dP4,0,18,True,2,834.0,0.03577,1,26,458.2475082874298,ok,
18,21,85463,True,18,3,2274,12,dP7|dP8|dP8|dP6|dP8|dP5|dP5|dP6|dP5|dP6|dP5|dP4,0,18,True,2,456.0,0.07498,1,26,442.6702456474304,ok,
18,21,85486,True,18,3,2054,12,dP6|dP7|dP7|dP4|dP8|dP7|dP5|dP4|dP4|dP4|dP6|dP4,1,17,True,2,662.6,0.02179,1,26,456.8108277320862,ok,
18,21,85514,True,18,3,1776,9,dP7|dP6|dP7|dP8|dP8|dP6|dP4|dP5|dP7,1,17,True,3,168.0,0.00616,1,26,249.89860153198242,ok,
