h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
18,21,101857,True,18,2242,2242,0,-1,2242,skip
18,21,101858,True,18,1830,1830,0,-1,1830,skip
18,21,101859,True,18,2278,2278,0,-1,2278,skip
18,21,101860,True,18,2152,2152,0,-1,2152,skip
18,21,101861,True,18,2202,2202,0,-1,2202,skip
18,21,101862,True,18,1928,1928,0,-1,1928,skip
18,21,101863,True,18,2082,2082,0,-1,2082,skip
18,21,101864,True,18,1794,1794,0,-1,1794,skip
18,21,101865,True,18,2128,2128,0,-1,2128,skip
18,21,101866,True,18,2350,2350,0,-1,2350,skip
18,21,101867,True,18,1554,1554,0,-1,1554,skip
18,21,101868,True,18,1916,1916,0,-1,1916,skip
18,21,101869,True,18,1864,1864,0,-1,1864,skip
18,21,101870,True,18,1538,1538,0,-1,1538,skip
18,21,101871,True,18,1602,1602,0,-1,1602,skip
18,21,101872,True,18,2366,2366,0,-1,2366,skip
18,21,101873,True,18,1740,1740,0,-1,1740,skip
18,21,101874,True,18,2100,2100,0,-1,2100,skip
18,21,101875,True,18,1580,1580,0,-1,1580,skip
18,21,101876,True,18,1708,1708,0,-1,1708,skip
18,21,101877,True,18,2292,2292,0,-1,2292,skip
18,21,101878,True,18,2030,2030,0,-1,2030,skip
18,21,101879,True,18,2034,2034,0,-1,2034,skip
18,21,101880,True,18,2260,2260,0,-1,2260,skip
18,21,101881,True,18,2210,2210,0,-1,2210,skip
18,21,101882,True,18,1502,1502,0,-1,1502,skip
18,21,101883,True,18,2022,2022,0,-1,2022,skip
18,21,101884,True,18,1808,1808,0,-1,1808,skip
18,21,101885,True,18,1580,1580,0,-1,1580,skip
18,21,101886,True,18,2094,2094,0,-1,2094,skip
18,21,101887,True,18,1974,1974,0,-1,1974,skip
18,21,101888,True,18,1734,1734,0,-1,1734,skip
18,21,101889,True,18,2270,2270,0,-1,2270,skip
18,21,101890,True,18,2154,2154,0,-1,2154,skip
18,21,101891,True,18,1858,1858,0,-1,1858,skip
18,21,101892,True,18,2114,2114,0,-1,2114,skip
18,21,101893,True,18,2362,2362,0,-1,2362,skip
18,21,101894,True,18,2294,2294,0,-1,2294,skip
18,21,101895,True,18,1770,1770,0,-1,1770,skip
18,21,101896,True,18,2416,2416,0,-1,2416,skip
18,21,101897,True,18,1594,1594,0,-1,1594,skip
18,21,101898,True,18,1792,1792,0,-1,1792,skip
18,21,101899,True,18,2056,2056,0,-1,2056,skip
18,21,101900,True,18,2286,2286,0,-1,2286,skip
18,21,101901,True,18,2014,2014,0,-1,2014,skip
18,21,101902,True,18,1858,1858,0,-1,1858,skip
18,21,101903,True,18,1790,1790,0,-1,1790,skip
18,21,101904,True,18,2278,2278,0,-1,2278,skip
